Rk,Player,GAA,GP,Season,Age,Team,GP,GS,W,L,T/O,GA,SV%,GAA,SV,Shots,GA%-,GSAA,SO,PIM,MIN,QS,QS%,RBS,GPS,Player-additional
1,Sergei Bobrovsky,2,38,2012-13,24,CBJ,38,37,21,11,6,74,0.932,2,1010,1084,77.5,21.5,4,0,2218:57:00,26,0.703,4,9.2,bobrose01
2,Tim Thomas,2,57,2010-11,36,BOS,57,55,35,11,9,112,0.938,2,1699,1811,71,45.8,9,13,3363:58:00,41,0.745,3,16.2,thomati01
3,Byron Dafoe,2,68,1998-99,27,BOS,68,,32,23,11,133,0.926,2,1667,1800,80.1,33,10,25,3996:16:00,,,,14.1,dafoeby01
4,Dwayne Roloson,2,50,2002-03,33,MIN,50,,23,16,8,98,0.927,2,1236,1334,80.6,23.6,4,4,2945:03:00,,,,10.8,rolosdw01
5,Tuukka Rask,2,36,2012-13,25,BOS,36,34,19,10,5,70,0.929,2,910,980,81.1,16.3,5,0,2104:09:00,25,0.735,4,8,rasktu01
6,Ed Belfour,1.99,61,1998-99,33,DAL,61,,35,15,9,117,0.915,1.99,1256,1373,92.4,9.6,5,26,3535:49:00,,,,9.1,belfoed01
7,Marc-André Fleury,1.98,36,2020-21,36,VEG,36,36,26,10,0,71,0.928,1.98,918,989,77.9,20.1,6,2,2146:36:00,26,0.722,3,8,fleurma01
8,Marty Turco,1.98,73,2003-04,28,DAL,73,,37,21,13,144,0.913,1.98,1504,1648,98.1,2.8,9,32,4359:16:00,,,,10.4,turcoma01
9,Gump Worsley,1.98,40,1967-68,38,MTL,40,,21,7,8,73,0.922,1.98,864,937,86.1,11.8,6,10,2210:54:00,,,,9,worslgu01
10,Ben Bishop,1.98,46,2018-19,32,DAL,46,45,27,15,2,87,0.934,1.98,1236,1323,73,32.2,7,2,2637:18:00,31,0.689,1,10.8,bishobe01
11,Cory Schneider,1.97,45,2013-14,27,NJD,45,43,16,15,12,88,0.921,1.97,1019,1107,92.3,7.4,3,4,2679:54:00,25,0.581,4,7.6,schneco01
12,Niklas Bäckström,1.97,41,2006-07,28,MIN,41,,23,8,6,73,0.929,1.97,955,1028,74.9,24.4,5,2,2226:31:00,,,,9,backsni01
13,Tuukka Rask,1.97,45,2009-10,22,BOS,45,39,22,12,5,84,0.931,1.97,1137,1221,77.5,24.3,5,2,2562:11:00,29,0.744,2,10.2,rasktu01
14,Henrik Lundqvist,1.97,62,2011-12,29,NYR,62,62,39,18,5,123,0.93,1.97,1630,1753,81.2,28.6,8,4,3753:30:00,40,0.645,3,14.1,lundqhe01
15,Jaroslav Halák,1.97,46,2011-12,26,STL,46,46,26,12,7,90,0.926,1.97,1121,1211,86,14.7,6,0,2746:37:00,29,0.63,5,9.1,halakja01
16,Jacques Plante,1.96,37,1968-69,40,STL,37,,18,12,6,70,0.94,1.96,1103,1173,65,37.6,5,2,2138:11:00,,,,9.2,plantja01
17,Cory Schneider,1.96,33,2011-12,25,VAN,33,28,20,8,1,60,0.937,1.96,885,945,73.4,21.7,3,0,1832:50:00,20,0.714,2,8.4,schneco01
18,Carey Price,1.96,66,2014-15,27,MTL,66,66,44,16,6,130,0.933,1.96,1823,1953,78,36.7,9,4,3976:33:00,39,0.591,6,16.2,priceca01
